codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
101;10089;TOSCANELLA;VIA EMILIA FR 52;TOSCANELLA;710292;917952;44,382581;11,638885;514
101;10098;PIRO PIRO;VIA EMILIA 4;TOSCANELLA;710951;917644;44,37962;11,647024;514
101;11814;SCANIA TORRICELLI;VIA SCANIA 571;CASTEL SAN PIETRO TERME;705692;919749;44,400062;11,581907;513
101;110101;PIRATELLO;VIA EMILIA 26;PIRATELLO;712862;916682;44,37041;11,670594;510
101;110104;IMOLA GALASSI;VIA EMILIA 50 MT. PRIMA BV VIA GALASSI;IMOLA;714023;916118;44,364997;11,684918;510
101;114102;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI FR 38;IMOLA;715854;915360;44,357638;11,707557;510
101;114105;IMOLA PALESTRA;VIALE CARDUCCI FR 11;IMOLA;716375;915251;44,356502;11,714042;510
101;120101;IMOLA AUTOSTAZIONE;VIA COSTA 45;IMOLA;716645;915356;44,357366;11,71747;510
101;150109;IMOLA GRATTACIELO;V.LE DANTE 7/ABC;IMOLA;716302;914383;44,348718;11,712767;510
103;11510;DUE FORNI;VIA VIARA FR 1630;CASTEL SAN PIETRO TERME;705646;917723;44,381854;11,580529;513
103;11513;SEGHERIA;VIA VIARA FR 2431;CASTEL SAN PIETRO TERME;705507;917073;44,376047;11,578529;513
103;11526;CIVICHELLA;VIA VIARA 5029;CASTEL SAN PIETRO TERME;704606;914961;44,357307;11,566401;513
103;11529;SAN MARTINO IN PEDRIOLO;VIA VIARA FR 16;CASALFIUMANESE;704276;914471;44,352993;11,562072;513
103;11542;RONCO;VIA VIARA FR MONTECERERE;CASTEL SAN PIETRO TERME;702742;913102;44,34111;11,54231;528
103;11545;FRASSINETO;VIA VIARA LATO CHIESA;CASTEL SAN PIETRO TERME;702596;912721;44,337724;11,540333;528
103;11549;MARZOCCHINA;VIA VIARA FR 9689;CASTEL SAN PIETRO TERME;701886;912014;44,331562;11,531161;528
1;110105;FORNACE;VIALE AMENDOLA 68;IMOLA;714533;915843;44,362373;11,691198;510
1;114106;IMOLA PALESTRA;VIALE CARDUCCI 19;IMOLA;716310;915310;44,357052;11,713252;510
1;120102;IMOLA AUTOSTAZIONE;VIA COSTA 62;IMOLA;716615;915370;44,357501;11,7171;510
1;122112;IMOLA VITTORIO VENETO;VIA MARCONI 14;IMOLA;716299;915597;44,359637;11,713233;510
1;124509;MILANA;VIA PAMBERA 41 A;IMOLA;715736;915995;44,363383;11,706341;510
1;124516;ZANOTTI BECCARIA;VIA ZANOTTI FR 20;IMOLA;714950;916192;44,365388;11,696569;510
1;131130;IMOLA OSPEDALE NUOVO;VIA MONTERICCO 4;IMOLA;714421;915284;44,357379;11,689564;510
1;131149;IMOLA OSPEDALE VECCHIO;VIALE AMENDOLA 14;IMOLA;715744;915240;44,356591;11,706128;510
1;151106;IMOLA PIAZZALE MICHELANGE;VIA LEOPARDI 93;IMOLA;716582;914394;44,348734;11,71628;510
1;152106;PORTA DEI SERVI;V.LE ZAPPI 10;IMOLA;716876;914677;44,351191;11,720083;510
1;600021;SAN ROCCO FARMACIA;RAMPARI SAN ROCCO 10;FERRARA;708289;968702;44,839558;11,634331;600
1;600159;CAVOUR BARRIERA;VIA CAVOUR 149;FERRARA;706319;969015;44,842945;11,609558;600
1;600162;CAVOUR P. BERETTA;VLE CAVOUR 102;FERRARA;706850;968693;44,839896;11,616139;600
1;600165;CAVOUR GIARDINI;VLE CAVOUR F 22;FERRARA;707034;968578;44,838808;11,618418;600
1;600204;GIOVECCA MONTEBELLO;CSO DELLA GIOVECCA 112;FERRARA;707540;968268;44,835873;11,624687;600
1;600207;GIOVECCA MONTEBELLO;CSO DELLA GIOVECCA 105;FERRARA;707539;968277;44,835955;11,624678;600
1;600236;FRUTTETI;VIA DEI FRUTTETI 143;FERRARA;709174;968196;44,834749;11,645308;600
1;600255;COPPARO TUROLDO;COPPARO F 86;FERRARA;708877;969359;44,845295;11,642033;600
1;600602;GIOVANNI XXIII;VIA GIOVANNI XXIII 55;FERRARA;708566;968983;44,842004;11,637947;600
1;600622;VIA DEI CEDRI 2/A;VIA DEI CEDRI 2-A;FERRARA;708908;968144;44,834359;11,641925;600
101;20;PORTA SAN VITALE;VIALE FILOPANTI 11;BOLOGNA;687470;929700;44,494515;11,356886;500
101;1003;PORTA MAGGIORE;VIA MAZZINI 5/A;BOLOGNA;687598;929165;44,489669;11,3583;500
101;1013;FERMI;VIA MAZZINI 117/D;BOLOGNA;688724;928612;44,484402;11,372248;500
101;1501;SAN LAZZARO POGGI;VIA EMILIA 230;SAN LAZZARO DI SAVENA;692139;926910;44,468193;11,414524;501
101;1505;SAN LAZZARO CIMITERO;VIA EMILIA 294;SAN LAZZARO DI SAVENA;693415;926281;44,462195;11,430317;501
101;10010;MARESCOTTA;VIA EMILIA FR 484;SAN LAZZARO DI SAVENA;695062;925485;44,454593;11,450702;501
101;10013;CAMPANA;VIA EMILIA 520;SAN LAZZARO DI SAVENA;695578;925216;44,452035;11,457081;501
101;10026;OZZANO PIAVE;VIA EMILIA 215;OZZANO DELL`EMILIA;697901;924102;44,441383;11,485825;511
101;10029;TOLARA BIVIO;VIA EMILIA 400;OZZANO DELL`EMILIA;698296;923892;44,439386;11,490704;511
101;10042;PONTE QUADERNA;VIA EMILIA PONENTE FR 7031;OZZANO DELL`EMILIA;699733;923199;44,432758;11,508477;512
101;10045;OSTERIA GRANDE;VIA EMILIA PONENTE 6245;OSTERIA GRANDE;700474;922823;44,429172;11,517633;512
101;10058;BASTIANA;VIA EMILIA PONENTE 4500;CASTEL SAN PIETRO TERME;702038;922074;44,422001;11,536972;513
101;10061;GALLO;VIA EMILIA PONENTE FR 90;CASTEL SAN PIETRO TERME;703020;921567;44,417166;11,549098;513
101;10074;CASTEL S.PIETRO T. FIAT;VIA EMILIA PONENTE 210;CASTEL SAN PIETRO TERME;705876;920164;44,403742;11,58438;513
101;10081;COZZO;VIA EMILIA LEVANTE 1420;CASTEL SAN PIETRO TERME;708023;919078;44,393362;11,61088;513
101;10084;TOSCANELLA 25 APRILE;VIA EMILIA (SS 9) 24;TOSCANELLA;709968;918137;44,384339;11,634896;514
